1	0	5661
2	5661	2545
3	8206	8563
4	16769	7398
5	24167	2412
6	26579	1456
7	28035	1636
8	29671	2669
9	32340	2577
10	34917	2249
11	37166	3060
12	40226	2066
13	42292	2984
14	45276	6952
15	52228	6358
16	58586	6858
17	65444	6743
18	72187	3941
19	76128	8094
20	84222	7783
21	92005	3113
22	95118	1796
23	96914	2974
24	99888	1612
25	101500	3022
26	104522	3433
27	107955	1851
28	109806	1524
29	111330	4768
30	116098	1741
31	117839	1515
32	119354	2461
33	121815	3612
34	125427	2060
35	127487	1455
36	128942	2808
37	131750	7814
38	139564	3329
39	142893	3616
40	146509	8871
41	155380	3730
42	159110	2821
43	161931	2198
44	164129	3564
45	167693	3491
46	171184	2061
47	173245	1596
48	174841	1790
49	176631	6356
50	182987	3195
51	186182	2231
52	188413	1856
53	190269	3412
54	193681	5488
55	199169	2001
56	201170	4146
57	205316	2710
58	208026	3753
59	211779	1736
60	213515	1533
61	215048	1536
62	216584	1614
63	218198	3644
64	221842	2729
65	224571	3956
66	228527	2375
67	230902	2583
68	233485	2366
69	235851	2528
70	238379	23229
71	261608	3202
72	264810	3604
73	268414	6312
74	274726	3081
75	277807	3289
76	281096	3402
77	284498	5229
78	289727	1604
79	291331	2581
80	293912	3411
81	297323	2442
82	299765	1070
83	300835	2353
84	303188	5073
85	308261	4217
86	312478	3008
87	315486	3767
88	319253	2629
89	321882	5410
90	327292	2517
91	329809	3773
92	333582	1089
93	334671	5256
94	339927	1426
95	341353	1204
96	342557	2034
97	344591	7433
98	352024	3319
99	355343	2527
100	357870	3333
101	361203	3684
102	364887	6350
103	371237	1481
104	372718	2678
105	375396	2087
106	377483	3102
107	380585	1596
108	382181	8508
109	390689	3497
110	394186	3384
111	397570	1359
112	398929	7909
113	406838	8193
114	415031	8630
115	423661	5679
116	429340	7412
117	436752	7051
118	443803	5484
119	449287	1788
120	451075	6417
121	457492	9011
122	466503	3857
123	470360	4586
124	474946	2720
125	477666	2384
126	480050	3848
127	483898	4802
128	488700	4255
129	492955	3240
